question,answer,intent,state,crop
jack fruit management of rhizopus fruit rot in jackfruit,suggested to spray pseudomonas 20 gram per liter of water,plant protection,kerala,jack fruit
groundnut (pea nut/mung phalli) tebuconazole 38.39% sc dose and uses?,"bayer buonos fungicide ( tebuconazole 38.39% sc ) buy ... kisan center › product › bayer-buonos-fungi... -contents: metalaxyl 8% + mancozeb 64%.(72% wp) -type of product: fungicide -brand: tata rallis -dosage: 300-500gm/acre or 30-50gm per pump. leaf spots,powdery mildew and rust diseases",plant protection,andhra pradesh,groundnut (pea nut/mung phalli)
tomato the nutrient management of tomato,organic manure @ 90 kg/cent is recommended at planting time. [ cowdung 60kg and organic manure 30kg],nutrient management,kerala,tomato
ginger the rhizome rot in ginger.,suggested to apply mancozeb 75 wp (3 gram/litre of water).,plant protection,kerala,ginger
maize (makka) fertiliuzer management in maize crop,fertiliuzer management in maize crop-50 kg dap +50 kg urea +20 kg mop per acre,fertilizer use and availability,telangana,maize (makka)
cotton (kapas) cotton mite management ;-,recommended to spray spiromesifen 200 ml/200 litres of water /acre,plant protection,telangana,cotton (kapas)
chillies powdery mildew management in chilli ?,recommended to spray dinocap (carathane ) 200 ml/acre 1 ml/1 ltr of water,plant protection,andhra pradesh,chillies
ginger the solution for the stem borer and rhizome weevil infestation in ginger.,spraying malathion 0.1% at 30 day intervals during july to october @1ml per liter of water. drenching dimethoate 30 ec @ 2 ml/lit of water,plant protection,karnataka,ginger
groundnut (pea nut/mung phalli) weather he can mix isabian with fungicides?,suggest to do jar test before spraying,nutrient management,andhra pradesh,groundnut (pea nut/mung phalli)
pigeon pea (red gram/arhar/tur) spotted pod borer management in redgram ?,recommended to spray emamecti benzoate (proclaim )90 gm/acre 0.45 gm/1 ltr of water,plant protection,andhra pradesh,pigeon pea (red gram/arhar/tur)
jasmine mites in jasmine management,recommended to spray propargite (omite/simba) 200 ml /200 litres of water / acre,plant protection,telangana,jasmine
bengal gram (gram/chick pea/kabuli/chana) varieties of bengal gram.,"sweta. (iccv-2). icrisat 1993. maharashtra, a.p. 12-13. 80-90. kabuli gram variety. ... karnataka, a.p., tn,. orissa. 16-18 90-100",varieties,karnataka,bengal gram (gram/chick pea/kabuli/chana)
amarphophallus (surankand/elephant foot yam) management of mealybugs in elephant foot yam,suggested to spray lecanicillium lecanii (verticillium lecanii) 20 gram dissolved in 1 litre of water.,plant protection,kerala,amarphophallus (surankand/elephant foot yam)
coconut management of sulphur deficiency,suggested to apply magnesium sulphate 500 gram per palm.,nutrient management,kerala,coconut
arecanut nutrient managment in arecanut,take 5 ltrs. of dr. soil new areca special and dilute with 500 liters of water and drench one liter for each plant / tree.,nutrient management,karnataka,arecanut
brinjal remedy for flower dropping in brinjal,suggested to spray micronutrient mixture at 5 gram per litre water,nutrient management,karnataka,brinjal
potato harvesting time for potato,responded that depedning on varieties potato can be harvested between 4 months to 6 months,cultural practices,kerala,potato
pigeon pea (red gram/arhar/tur) weed management in red management,"recmmended to spray imazitapyr (basf -pursuit,weedblock) 300- 400 ml/200 litres of water per acre",weed management,telangana,pigeon pea (red gram/arhar/tur)
sunnhemp (patua) sunn hemp crop critical time,sunn hemp crop critical time ;60 to 90 days after planting.,water management,telangana,sunnhemp (patua)
musk melon crop duration of musk melon information,crop duration of musk melon : 75-80 days crop,plant protection,telangana,musk melon
"others sowing time of green gram, black gram, sunflower, sesame and maize",green gram - fberuary to march black gram mid february to march end seesame - january to february mid sunflower - mid january to mid february maize - october to november,cultural practices,telangana,others
lab lab nutrient management in lab,suggested to spray 19:19:19 @ 3 g/ltr of water + samruddi @ 3 ml/ltr of water,nutrient management,karnataka,lab lab
chillies sucking pest management tin chilicrop,diafenthiuron 47% + bifenthrin 9.4% sc (takaf) 250ml /200 liter of water,plant protection,telangana,chillies
pepper the deficiency of manganese.,suggested to apply manganese 7.5g per plant.,nutrient management,kerala,pepper
chillies corteva galileo sensa systemic fungicide - 400 ml | picoxystrobin + tricyclazole ?,"recommended cropchillies, paddy, barley, oats, oilseeds recommended dose2 to 5 ml advantages resultscontrols blast disease in rice and powdery mildew, wet rot and anthracnose in chillies",plant protection,andhra pradesh,chillies
"others contact details of assistant executive engineer (agriculture), thrissur","office of the assistant executive engineer (agriculture), thrissur-",agriculture mechanization,kerala,others
chillies midge fly management in chili crop,ecommended to spray belt expert ( thiachloprid + flubendamide ) 400 grams /200 litres of water /acre or chemical composition: recommended to spray spinetoram 11.7% sc 160-200 ml/acre,plant protection,telangana,chillies
brinjal gharda boxerr insecticide usage & crops ?,"gharda boxerr insecticide usage & crops recommendations: crops target pest dosage/ acre (ml) dilution in water (l/acre) waiting period (days) cotton bollworms 50 160-240 30 paddy stem borer, leaf folder, green leaf hopper, whorl maggot 60 200 13 tea thrips 40 160 15",plant protection,andhra pradesh,brinjal
fresh water fishery department contact number ;-,"sri.. k.vardha reddy district fisheries officer integrated district offices complex, siddipet mobile:",fishery nutrition,telangana,fresh water
bhindi(okra/ladysfinger) dosage of 19:19:19 npk fertilizer for vegetables,spray 19:19:19 npk fertilizer @ 5-10g/l,nutrient management,kerala,bhindi(okra/ladysfinger)
maize (makka) fertilizer application in maize through drip irrigation,recommended to apply urea(46-0-0) 16 kg + 10 kg potash (0-0-50) per acre through drip system,fertilizer use and availability,telangana,maize (makka)
paddy (dhan) sheath blight and paddy blast management in paddy,recommended to spray propiconazole + tricyclazole (galileo sensa ) 200ml/acre/200 lit of water,plant protection,telangana,paddy (dhan)
others crop insurance scheme for banana,"documents required for weather based crop insurance scheme are phone number, aadhaar number, land possession certificate, land right document, sowing certificate or self declaration of intent to sow the proposed crop, and the copy of bank pass book. the premium to be paid for 20cents of banana is rs. 700/-",crop insurance,kerala,others
paddy (dhan) paddy seed drr dhan - 75 seed availability,"indian rice research institute, ari, rajendranagar, hyderabad -",seeds,telangana,paddy (dhan)
banana fertilizer dose of nendran,"suggested that the fertilizer dose at 3rd, 4th, 5th months are same and the dosage is 65 gram urea, 100 gram muriate of potash respectively each time.",nutrient management,kerala,banana
nutmeg the fertilizer application for nutmeg.,"recommended to apply organic manure @ 50 kg/plant every year. apply lime @ 1 kg per plant at two weeks ahead of fertilizer application.the first split has to be applied in april-june. the dosage is 550 gram urea, 700 gram rajphos and 840 gram potash respectively. the second dose has to be applied in september-october and the dosage is 550 gram urea, 700 gram rajphos and 840 gram potash respectively.",nutrient management,kerala,nutmeg
bitter gourd nutrient management in bitter gourd?,recommended to spray 19-19-19 1 kg/acre gromin max 600 gms/acre,plant protection,andhra pradesh,bitter gourd
paddy (dhan) seed rate of paddy per acre,seed rate of paddy - fine seed paddy - 20kg bold seed paddy - 25 kg,cultural practices,telangana,paddy (dhan)
tomato already diluted chemical can spray after 12 days of storred,there is no problem with covering of diluted chemical,plant protection,telangana,tomato
banana the nutient management of banana.,suggested to apply 600g 15-15-15 and 150g pottash.,nutrient management,kerala,banana
banana the management bacterial wilt in banana.,"suggested to spread bleaching powder or 10 % fresh cow dung slurry (100 gram/litre of water) in the banana basin. drench soil with 1% bordeaux mixture or copper oxychloride 50 wp (2 gram/litre of water). use disease free planting material. remove heliconia spp. and other weeds from the field and nearby area. disinfect implements and tools used in the field with bleaching powder or phenol. provide better drainage. leave soil fallow for 6 months, especially in summer. adopt crop rotation involving non-host crops for 12 months. before planting, treat suckers with copper oxychloride 50 wp (4 gram/litre of water) for 30 minutes. drench soil with antibiotics like streptomycin / streptocycline 500 ppm (5 gram/10 litre of water).",plant protection,kerala,banana
curry leaf management of leaf eating caterpillar in curry leaf,suggested to spray turmeric + garlic in 1 liters of water,plant protection,kerala,curry leaf
chillies sowing time for green chillies,recommended sowing time for green chillies throughtout the year,cultural practices,telangana,chillies
mango management of leaf yellowing in mango,suggested to spray copper oxychloride @ 3g per litre water.,plant protection,kerala,mango
groundnut (pea nut/mung phalli) root rot management in ground nut?,recommended to drench copper oxychloride (blitox ) 600 gms/acre 3gms/1 ltr of water,agriculture mechanization,andhra pradesh,groundnut (pea nut/mung phalli)
cocoa yellowing and browning of cocoa pods,suggested to spray hexaconazole 1 ml mixed in 1 litre of water in 3 weeks interval,plant protection,kerala,cocoa
paddy (dhan) raw rice preservative ;-,"raw rice preservative ;- weird's boric acid or h₃bo₃ is used in the rice as a preservative and to keep rice grains away from insects, worms etc. usually, 100 gms of boric acid is mixed with 20 or 25 kg of rice. so, for 50 kgs of rice, 200 gms of boric acid powder should be sufficient.",post harvest preservation,telangana,paddy (dhan)
paddy (dhan) fertilizer appplication in paddy,recommended to apply 25 kg urea + 15 kg potash per acre,fertilizer use and availability,telangana,paddy (dhan)
262 soybean root rot masnagement ;-,recommended to drench copper oxychloride 3 grams / 1 litre of water,pathogenic disease management,telangana,262
tobacco sucking pest management in tobacco,bayer lesenta (fipronil 40% + imidacloprid 40% wg) 100-120 grams/acre technical name: diafenthiuron 40.1% + acetamiprid 3.9% wp 250-300 gram/per acre/200 liters of water(hercules),plant protection,telangana,tobacco
grape fertilizer requirement of grapes,suggested to spray all 19 fertilizer 5 to 10 gram per litre of water.spray it monthly once.,nutrient management,kerala,grape
spinach (palak) spinach sucking pest management ;-,recommended to spray dimethoate 400 ml /200 litres of water /acre,plant protection,telangana,spinach (palak)
others disease management in tamarind,recommended to spray carbendazim (bavistin) 1 gram/ 1 litre of water per plant,plant protection,telangana,others
paddy (dhan) paddy broadcasting weed management ;-,recommended to spray bispyribac sodium 100 ml/200 litres of water per acre,weed management,telangana,paddy (dhan)
chillies flower drop control in chilly,suggested to spray planofix @ 4ml per 20 liter of water,nutrient management,karnataka,chillies
others sowing time of green gram and sorghum,sowingtime of green gram is february - march as summer crop sowing time of sorghum is october,sowing time and weather,telangana,others
others water mnagement in field,irrigate the field at frequant intervals,water management,telangana,others
horse gram (kulthi/kultha) horse gram cultivation time,the main season for sowing horse gram is late august-november,sowing time and weather,telangana,horse gram (kulthi/kultha)
black gram (urd bean) sowing time of black gram crop,sowing time of black gram crop -february -march -15,sowing time and weather,telangana,black gram (urd bean)
pepper dosage of 19:19:19 npk mix for pepper,spray 19:19:19 npk mix @ 5g/l,nutrient management,kerala,pepper
pigeon pea (red gram/arhar/tur) borer pest management in tur,suggested to spray neem oil 2m/l,plant protection,karnataka,pigeon pea (red gram/arhar/tur)
sorghum (jowar/great millet) best sowing number of sorghum information,"best sowing number of sorghum ; row to row 45 cms , plant to plant - 12-15 cms",plant protection,telangana,sorghum (jowar/great millet)
paddy (dhan) nutrient management in paddy?,recommended to spray agrominimax 3 grams /1 liter of water,nutrient management,telangana,paddy (dhan)
avacado inducing fruits in avocado,suggested to spray potash @ 5g per litre water.,nutrient management,kerala,avacado
bitter gourd managemnt of leaf curling in bittergourd,suggested to spray neem oil garlic emelsion or azardiractin 5ml/litre of water,plant protection,kerala,bitter gourd
papaya management of wilt in papaya,suggested to drench and spray saaf 2 gram per liter of water.,plant protection,kerala,papaya
paddy (dhan) to avoid paddy germination due to heavy rains,recommended to spray 500 grams of salt in 10 litres of water to avoid paddy germination due to heavy rains,plant protection,telangana,paddy (dhan)
paddy (dhan) nutrient management of short duration rice variety prathyasha,suggested to apply factomphos 66.6 kg and muriate of potash 10 kg per acre as basal fertilizer.apply 12.84 kg urea per acre as second dose during active tillering stage.apply 12.84 kg urea and 10 kg mop per acre as third dose during panicle initiation.,nutrient management,kerala,paddy (dhan)
sesame (gingelly/til)/sesamum seed rate sesame -,seed rate sesame -2.5 kg per acre,cultural practices,telangana,sesame (gingelly/til)/sesamum
curry leaf management of insect infestation in curry leaves,suggested to spray bueveria bassiana 20gram in one litre of water,plant protection,kerala,curry leaf
hibiscus (gurhal) management of leaf roller in hibiscus,suggested to cut and remove infested leaves along with larvae.spray beuveria bassiana 20g per litre of water.,plant protection,kerala,hibiscus (gurhal)
paddy (dhan) paddy bold seed varities information,jagityal rice - 1 ( jgl- 24423) - bold variety kunnaram sannalu - knm - 118 - bold variety bathukamma ( jgl- 18047) - bold variety rnr -29325 bold variety mtu - 1010,seeds,telangana,paddy (dhan)
coconut weed management in coconut,weed management in coconut: post emergence spraying of glyphosate @ 10 ml and 20 g ammonium sulphate/litre of water.,cultural practices,karnataka,coconut
maize (makka) fertilizer management in maize information,"recommended to apply 1 dap , 30 kgs of urea and 20 kgs of potash / acre",plant protection,telangana,maize (makka)
black gram (urd bean) bavistin + corazon compatibility ?,recommended to spray separately do not mix,plant protection,andhra pradesh,black gram (urd bean)
banana management of pseudo stem borer in banana,"suggested to give stem injection of chlorantraniliprole 18.5 sc , trade name: coragen 3 ml/10 litre of water .",plant protection,kerala,banana
groundnut (pea nut/mung phalli) seeds and contact information,"--registrar university of agricultural sciences, dharwad dharwad – 580 005 karnataka state, india phone : 0091-836-2214420 fax : 0091-836-2745276 e-mail registrar: registrar@uasd.in",sowing time and weather,karnataka,groundnut (pea nut/mung phalli)
guava whether he can apply urea to guava plant,urea can be applied to guava plant,nutrient management,kerala,guava
bengal gram (gram/chick pea/kabuli/chana) pheromone traps usage in bengal gram,recommended to use pheromone traps in benga;l gram 7-8 / acre,cultural practices,telangana,bengal gram (gram/chick pea/kabuli/chana)
green gram (moong bean/ moong) rot management in green gram,suggest to apply soil drench copper oxy chloride 3g per lit water,plant protection,andhra pradesh,green gram (moong bean/ moong)
sesame (gingelly/til)/sesamum sesame sucking pest management ;-,recommended to spray acephate 300 grams/ 200 litres of water / acre,plant protection,telangana,sesame (gingelly/til)/sesamum
"tomato vegetable research station, rajendra nagar","agro climate research centre, ari, rajendranagar, hyderabad- 500 030, phone: 040-24016901.",credit,telangana,tomato
betel vine cultural practices in betelevine,"varieties planting time yield ambadi, nagaballi, kariballi, hosaballi, janaballi, chapraballi, maraele, kalkatta pan, mysore leaves, imangala local. june - july 8 - 12 lakhs/acre",cultural practices,karnataka,betel vine
ridge gourd ridge gourd seed availability ;-,"a rain gun is a high-performance micro-irrigation device and it is designed for a variety of uses and applications where relatively high flows and extended radius of the water throw are desired. rain gun sprinkler is available with an operating pressure of 2.0 to 7.5 kg/cm2 and flow of 3 to 30 lps. most of them have nozzle diameters ranging from 10 to 30 mm and a wetting radius of around 27- 60 meter. features of raingun used for irrigating the large area in one time. rain guns are used for irrigating large field areas at once. the guns irrigate the land with minimum labor and electricity requirements. while rain gun irrigation, pests, and insects get washed away. available with an adjustable jet breaker the adjustable jet breaker allows droplet size & impact adjustment facility for delicate crops. it provides uniform irrigation. minimum components to operate the system component necessities are minimum and the components are lightweight and sturdy with high workmanship. thus, there are maintenance requirements even after a long period of use. available with interchangeable nozzles the interchangeable nozzles provide the flexibility of irrigation for various crop and soil stags. interchangeable nozzles are suitable for all types of soil/crop stages. read more : a comprehensive guide to choosing the best sprinkler irrigation system applications for irrigation of ﬁeld crops i.e. sugarcane, wheat, bajra (sorghum), soybean, maize, pulses, etc. in well-grown sugarcane, it is very hard for the farmers to spray in the inner field. they have fertilizer tank and a venture assembly. thus, fertilizers and pesticides can be sprayed easily with hardly any labor. tea, rubber & coﬀee plantation the rain guns are highly admired by the clients because of their easy installation, corrosion resistance, high performance, and numerous other features. thus these are very useful for tea, rubber and coffee plantations. fodder crops & green pastures another very important use is in fodder and green pasture irrigation. it can cover an area of around one acre by sprinkling from one position in just 2-3 hours. with the portable installation, it can cover the entire farm by moving the system. dust suppression in mines & thermal power station rain guns can be used for dust suppression in mining and its related operations. it comes with a pump set and high-pressure pipes which help in controlling dust. mancherial - v.uadaya kumar - dhso -",cultural practices,telangana,ridge gourd
banana management of black necrosis spread from the perianth into the tip of immature fingers in banana,removal of pistil and perianth by hand 8-10 days after bunch formation and spraying the bunch with mancozeb 75 wp (3 gram/litre of water),plant protection,kerala,banana
banana nutrient management for banana after bunch emergence,spray sulphate of potash @ 15g/l by adding stickers @ 0.5ml/l,nutrient management,kerala,banana
turmeric management of bacterial wilt in turmeric,suggested to drench soil with bacillus subtilans 20 gram per liter of water,plant protection,kerala,turmeric
bhindi(okra/ladysfinger) fertilizer application in bhindi,suggested that you can give factomphos and neem cake simultaneously.,nutrient management,kerala,bhindi(okra/ladysfinger)
chillies control measures for leaf curl in chilli,suggested to spray fipronil 40% + imidacloprid 40% wg @ 0.2 -0.6 gm/ 1 l of water & 40-60 gm/ acre,plant protection,karnataka,chillies
koronda mite management in koronda,recommended to spray propargite 200 ml /200 litres of water / acre,plant protection,telangana,koronda
others wheather pottasium sulphate and sulphate of potash are same,suggested that pottasium sulphate and sulphate of potash are same,nutrient management,kerala,others
chillies chilli sucking pest and leaf spot management ;-,recommended to spray acephate 300 grams + carbendazim + mancozeb 500 grams / 200 litres of water / acre,plant protection,telangana,chillies
